"Name","Location","Function Signature","Function Size"
"FUN_08000c42","08000c42","undefined FUN_08000c42(undefined4 param_1)","8"
"FUN_08001272","08001272","undefined FUN_08001272(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined param_6\, undefined param_7\, undefined param_8\, undefined param_9\, undefined param_10\, undefined4 param_11\, undefined4 param_12\, undefined4 param_13\, undefined4 param_14\, undefined4 param_15\, undefined4 param_16\, undefined4 param_17\, undefined4 param_18\, undefined4 param_19\, undefined4 param_20\, undefined4 param_21\, undefined4 param_22\, undefined4 param_23\, undefined4 param_24\, undefined4 param_25\, undefined4 param_26\, undefined4 param_27\, undefined4 param_28\, undefined4 param_29\, undefined4 param_30\, undefined4 param_31\, undefined4 param_32\, undefined4 param_33\, undefined4 param_34\, undefined4 param_35\, undefined4 param_36\, undefined4 param_37\, undefined4 param_38\, undefined4 param_39\, undefined4 param_40\, undefined4 param_41\, undefined4 param_42\, undefined4 param_43\, undefined4 param_44\, undefined4 param_45\, undefined4 param_46\, undefined4 param_47\, undefined4 param_48\, undefined4 param_49\, undefined4 param_50\, undefined2 param_51\, undefined4 param_52\, undefined4 param_53\, undefined4 param_54\, undefined4 param_55\, undefined4 param_56\, undefined4 param_57\, undefined4 param_58\, undefined4 param_59\, undefined4 param_60)","1900"
"FUN_080012ea","080012ea","undefined FUN_080012ea(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined param_6\, undefined param_7\, undefined param_8\, undefined param_9\, undefined param_10\, undefined4 param_11\, undefined4 param_12\, undefined4 param_13\, undefined4 param_14\, undefined4 param_15\, undefined4 param_16\, undefined4 param_17\, undefined4 param_18\, undefined4 param_19\, undefined4 param_20\, undefined4 param_21\, undefined4 param_22\, undefined4 param_23\, undefined4 param_24\, undefined4 param_25\, undefined4 param_26\, undefined4 param_27\, undefined4 param_28\, undefined4 param_29\, undefined4 param_30\, undefined4 param_31\, undefined4 param_32\, undefined4 param_33\, undefined4 param_34\, undefined4 param_35\, undefined4 param_36\, undefined4 param_37\, undefined4 param_38\, undefined4 param_39\, undefined4 param_40\, undefined4 param_41\, undefined4 param_42\, undefined4 param_43\, undefined4 param_44\, undefined4 param_45\, undefined4 param_46\, undefined4 param_47\, undefined2 param_48\, undefined4 param_49\, undefined4 param_50\, undefined4 param_51\, undefined4 param_52\, undefined4 param_53)","788"
"FUN_08001748","08001748","undefined FUN_08001748(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","11726"
"FUN_080093f8","080093f8","undefined FUN_080093f8(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined param_6\, undefined4 param_7\, undefined param_8\, undefined param_9\, undefined param_10\, undefined4 param_11\, undefined4 param_12\, undefined4 param_13\, undefined4 param_14\, undefined4 param_15\, undefined4 param_16\, undefined4 param_17\, undefined4 param_18\, undefined4 param_19\, undefined4 param_20\, undefined4 param_21\, undefined4 param_22\, undefined4 param_23\, undefined4 param_24\, undefined4 param_25\, undefined4 param_26\, undefined4 param_27\, undefined4 param_28\, undefined4 param_29\, undefined4 param_30\, undefined4 param_31\, undefined4 param_32\, undefined4 param_33\, undefined4 param_34\, undefined4 param_35\, undefined4 param_36\, undefined4 param_37\, undefined4 param_38\, undefined4 param_39\, undefined4 param_40\, undefined4 param_41\, undefined4 param_42\, undefined4 param_43\, undefined4 param_44\, undefined4 param_45\, undefined4 param_46\, undefined4 param_47\, undefined4 param_48\, undefined4 param_49\, undefined4 param_50\, undefined4 param_51\, undefined4 param_52\, undefined4 param_53\, undefined4 param_54\, undefined4 param_55\, undefined4 param_56\, undefined4 param_57\, undefined4 param_58\, undefined4 param_59\, undefined4 param_60\, undefined4 param_61\, undefined4 param_62\, undefined4 param_63\, undefined4 param_64\, undefined4 param_65\, undefined4 param_66\, undefined4 param_67\, undefined4 param_68\, undefined4 param_69)","2270"
"FUN_0800a3ae","0800a3ae","undefined FUN_0800a3ae()","442"
"FUN_0800a790","0800a790","undefined FUN_0800a790()","72"
"FUN_0800a7d8","0800a7d8","undefined FUN_0800a7d8()","1156"
"FUN_0800b28c","0800b28c","undefined FUN_0800b28c(undefined4 param_1\, undefined4 param_2\, int param_3\, undefined param_4\, undefined param_5\, undefined param_6\, undefined param_7\, undefined param_8\, undefined param_9\, undefined param_10\, undefined4 param_11\, undefined4 param_12)","2634"
"FUN_08035130","08035130","undefined FUN_08035130(void)","1"
